        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.92000000e+02,        +7.665388951329e-13,        +7.101912408980e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.145389838922e-13,        +7.239834614570e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.135955329903e-13,        +7.237290405682e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.93600000e+02,        +7.665917397643e-13,        +7.095292796212e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.174314111432e-13,        +7.227371069918e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.164837900344e-13,        +7.224738732210e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.95200000e+02,        +7.666153173616e-13,        +7.088758922334e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.202825338506e-13,        +7.216281103783e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.193307402704e-13,        +7.213559501260e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.96800000e+02,        +7.666097390135e-13,        +7.082312376471e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.230927243756e-13,        +7.206573007341e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.221367538118e-13,        +7.203761025673e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.98400000e+02,        +7.665751366381e-13,        +7.075954726710e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.258622831740e-13,        +7.198252623805e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.249021290051e-13,        +7.195349178033e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +7.665116627849e-13,        +7.069687517269e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.285913996674e-13,        +7.191322328135e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.276270533446e-13,        +7.188326374843e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.01600000e+02,        +7.664194903486e-13,        +7.063512265595e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.312801030145e-13,        +7.185779793298e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.303115543176e-13,        +7.182690347758e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.03200000e+02,        +7.662988122214e-13,        +7.057430459629e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.339282020764e-13,        +7.181616545920e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.329554394937e-13,        +7.178432704702e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.04800000e+02,        +7.661498409080e-13,        +7.051443555393e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.365352147917e-13,        +7.178816341306e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.355582260890e-13,        +7.175537310821e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.06400000e+02,        +7.659728081220e-13,        +7.045552974926e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.391002886755e-13,        +7.177353427579e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.381190617315e-13,        +7.173978558862e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.08000000e+02,        +7.657679643752e-13,        +7.039760104587e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.416221163116e-13,        +7.177190821961e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.406366402998e-13,        +7.173719651646e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.09600000e+02,        +7.655355785673e-13,        +7.034066293680e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.440988525164e-13,        +7.178278786592e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.431091195085e-13,        +7.174711083470e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.11200000e+02,        +7.652759375797e-13,        +7.028472853352e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.465280431038e-13,        +7.180553759316e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.455340501493e-13,        +7.176889575005e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.12800000e+02,        +7.649893458737e-13,        +7.022981055733e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.489065783719e-13,        +7.183938052133e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.479083300724e-13,        +7.180177773344e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.14400000e+02,        +7.646761250941e-13,        +7.017592133259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.512306866879e-13,        +7.188340654723e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.502281982298e-13,        +7.184485053368e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.16000000e+02,        +7.643366136760e-13,        +7.012307278159e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.534959837142e-13,        +7.193659446005e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.524892842491e-13,        +7.189709722311e-13,        +0.000000000000e+00,        +0.000000000000e+00
