        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.56800000e+02,        +1.604550144186e-12,        +1.668193661899e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605230254257e-12,        +1.668499953455e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605631217595e-12,        +1.669142361723e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.605087306614e-12,        +1.668837333217e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58400000e+02,        +1.623026034563e-12,        +1.665999762300e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.623702545277e-12,        +1.666295797942e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.624118096554e-12,        +1.666930293783e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.623571553066e-12,        +1.666627508079e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +1.639993756321e-12,        +1.662494122453e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.640664686583e-12,        +1.662777724540e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.641093985948e-12,        +1.663403424335e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.640545898844e-12,        +1.663104719222e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.61600000e+02,        +1.655391187101e-12,        +1.657697369847e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.656054585053e-12,        +1.657966451346e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.656496726376e-12,        +1.658582532671e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.655948193239e-12,        +1.658289715979e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.63200000e+02,        +1.669167807448e-12,        +1.651637291971e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669821776083e-12,        +1.651889875731e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.670275797775e-12,        +1.652495585477e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669727912043e-12,        +1.652210421383e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64800000e+02,        +1.681284257867e-12,        +1.644347915164e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.681926979558e-12,        +1.644582150503e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.682391876064e-12,        +1.645176811827e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.681845714350e-12,        +1.644901008479e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66400000e+02,        +1.691711708612e-12,        +1.635868586265e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.692341467912e-12,        +1.636082762595e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.692816201569e-12,        +1.636665780574e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.692272811445e-12,        +1.636400979164e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +1.700431112949e-12,        +1.626243108138e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.701046317101e-12,        +1.626435665520e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.701529830040e-12,        +1.627006531404e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.700990218594e-12,        +1.626754296754e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.69600000e+02,        +1.707432415273e-12,        +1.615518970605e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.708031611955e-12,        +1.615688507218e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.708522837744e-12,        +1.616246801235e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.707987961182e-12,        +1.616008613888e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.71200000e+02,        +1.712713779782e-12,        +1.603746705831e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713295671734e-12,        +1.603891982478e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713793546482e-12,        +1.604437375146e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.713264301007e-12,        +1.604214624907e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72800000e+02,        +1.716280894410e-12,        +1.590979383118e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.716844350703e-12,        +1.591099324965e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717347823393e-12,        +1.591631576939e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.716825037542e-12,        +1.591425557775e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74400000e+02,        +1.718146389702e-12,        +1.577272243807e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718690453519e-12,        +1.577365939638e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719198495361e-12,        +1.577884900132e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718682923946e-12,        +1.577696806307e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +1.718329394943e-12,        +1.562682463833e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718853287885e-12,        +1.562749163141e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.719364900553e-12,        +1.563254767003e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.718857220266e-12,        +1.563085690319e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.77600000e+02,        +1.716855236045e-12,        +1.547269020619e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717358359029e-12,        +1.547308128872e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717872581696e-12,        +1.547800392441e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.717373388423e-12,        +1.547651320460e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.79200000e+02,        +1.713755263008e-12,        +1.531092633216e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714237193972e-12,        +1.531103705649e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714753109103e-12,        +1.531582721532e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714262916880e-12,        +1.531454536656e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80800000e+02,        +1.709066780836e-12,        +1.514215740404e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.709527269487e-12,        +1.514198474663e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.710044007415e-12,        +1.514664405629e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.709563248962e-12,        +1.514557884929e-12,        +0.000000000000e+00,        +0.000000000000e+00
