t_ns,out1_mv,out2_mv,out3_mv,out4_mv
2.940000e-01,4.984779e-02,2.421740e-02,-6.701682e-01,5.474943e-01
2.950000e-01,5.649594e-02,1.843149e-02,-6.695390e-01,5.462749e-01
2.960000e-01,6.313278e-02,1.261452e-02,-6.687847e-01,5.449242e-01
2.970000e-01,6.977548e-02,6.813699e-03,-6.679185e-01,5.434830e-01
2.980000e-01,7.642056e-02,1.057474e-03,-6.669610e-01,5.419990e-01
2.990000e-01,8.305119e-02,-4.679983e-03,-6.659190e-01,5.404684e-01
3.000000e-01,8.965101e-02,-1.044011e-02,-6.647854e-01,5.388490e-01
3.010000e-01,9.621345e-02,-1.624176e-02,-6.635432e-01,5.371078e-01
3.020000e-01,1.027515e-01,-2.207696e-02,-6.621789e-01,5.352330e-01
3.030000e-01,1.092866e-01,-2.790359e-02,-6.606992e-01,5.332554e-01
3.040000e-01,1.158221e-01,-3.368273e-02,-6.591237e-01,5.312280e-01
3.050000e-01,1.223421e-01,-3.942679e-02,-6.574630e-01,5.291636e-01
3.060000e-01,1.288285e-01,-4.517872e-02,-6.557137e-01,5.270237e-01
3.070000e-01,1.352696e-01,-5.096325e-02,-6.538624e-01,5.247705e-01
3.080000e-01,1.416737e-01,-5.678076e-02,-6.518941e-01,5.223852e-01
3.090000e-01,1.480638e-01,-6.259702e-02,-6.498092e-01,5.198871e-01
3.100000e-01,1.544512e-01,-6.836723e-02,-6.476244e-01,5.173293e-01
3.110000e-01,1.608229e-01,-7.408851e-02,-6.453532e-01,5.147405e-01
3.120000e-01,1.671590e-01,-7.980093e-02,-6.429958e-01,5.120911e-01
3.130000e-01,1.734440e-01,-8.553577e-02,-6.405426e-01,5.093388e-01
3.140000e-01,1.796801e-01,-9.129991e-02,-6.379788e-01,5.064594e-01
3.150000e-01,1.858898e-01,-9.706864e-02,-6.353000e-01,5.034604e-01
3.160000e-01,1.920916e-01,-1.027958e-01,-6.325184e-01,5.003901e-01
3.170000e-01,1.982778e-01,-1.084638e-01,-6.296487e-01,4.972908e-01
3.180000e-01,2.044275e-01,-1.141051e-01,-6.266947e-01,4.941462e-01
3.190000e-01,2.105222e-01,-1.197572e-01,-6.236504e-01,4.909111e-01
3.200000e-01,2.165577e-01,-1.254326e-01,-6.205028e-01,4.875564e-01
3.210000e-01,2.225533e-01,-1.311165e-01,-6.172442e-01,4.840787e-01
3.220000e-01,2.285335e-01,-1.367654e-01,-6.138815e-01,4.805181e-01
3.230000e-01,2.344979e-01,-1.423496e-01,-6.104292e-01,4.769257e-01
3.240000e-01,2.404260e-01,-1.478902e-01,-6.068940e-01,4.733016e-01
3.250000e-01,2.462967e-01,-1.534276e-01,-6.032732e-01,4.696020e-01
3.260000e-01,2.520998e-01,-1.589807e-01,-5.995568e-01,4.657922e-01
3.270000e-01,2.578496e-01,-1.645436e-01,-5.957351e-01,4.618598e-01
3.280000e-01,2.635743e-01,-1.700786e-01,-5.918102e-01,4.578342e-01
