f_hz,asd_v,beta_f_vw,nep_w,nep_nopnp_w,g_usb,g_lsb,vif_dbv,nf_dsb_db,nf_ssb_db,nf_dsb_nopnp_db
3.161718e+03,4.559787e-06,4.121584e+01,1.106319e-07,8.396193e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.588691e+01,9.889721e+01,7.349095e+01
3.547443e+03,4.304755e-06,4.121584e+01,1.044442e-07,7.926751e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.538699e+01,9.839729e+01,7.299121e+01
3.980226e+03,4.063987e-06,4.121584e+01,9.860255e-08,7.483575e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.488706e+01,9.789736e+01,7.249148e+01
4.465808e+03,3.836686e-06,4.121584e+01,9.308765e-08,7.065196e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.438714e+01,9.739744e+01,7.199179e+01
5.010631e+03,3.622098e-06,4.121584e+01,8.788120e-08,6.670226e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.388722e+01,9.689752e+01,7.149211e+01
5.621921e+03,3.419512e-06,4.121584e+01,8.296595e-08,6.297359e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.338730e+01,9.639760e+01,7.099247e+01
6.307787e+03,3.228256e-06,4.121584e+01,7.832562e-08,5.945357e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.288738e+01,9.589768e+01,7.049286e+01
7.077328e+03,3.047698e-06,4.121584e+01,7.394482e-08,5.613055e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.238746e+01,9.539776e+01,6.999329e+01
7.940752e+03,2.877239e-06,4.121584e+01,6.980905e-08,5.299352e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.188754e+01,9.489784e+01,6.949376e+01
8.909513e+03,2.716313e-06,4.121584e+01,6.590460e-08,5.003207e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.138761e+01,9.439791e+01,6.899427e+01
9.996461e+03,2.564389e-06,4.121584e+01,6.221852e-08,4.723641e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.088769e+01,9.389799e+01,6.849484e+01
1.121602e+04,2.420961e-06,4.121584e+01,5.873861e-08,4.459726e-09,6.694020e-01,6.694020e-01,-7.521100e+01,9.038777e+01,9.339807e+01,6.799547e+01
1.258435e+04,2.285556e-06,4.121584e+01,5.545334e-08,4.210589e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.988785e+01,9.289815e+01,6.749616e+01
1.411963e+04,2.157724e-06,4.121584e+01,5.235182e-08,3.975403e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.938794e+01,9.239824e+01,6.699692e+01
1.584220e+04,2.037042e-06,4.121584e+01,4.942376e-08,3.753389e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.888802e+01,9.189832e+01,6.649777e+01
1.777493e+04,1.923110e-06,4.121584e+01,4.665948e-08,3.543812e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.838810e+01,9.139840e+01,6.599871e+01
1.994344e+04,1.815550e-06,4.121584e+01,4.404981e-08,3.345977e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.788818e+01,9.089848e+01,6.549976e+01
2.237652e+04,1.714006e-06,4.121584e+01,4.158610e-08,3.159229e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.738826e+01,9.039856e+01,6.500092e+01
2.510642e+04,1.618142e-06,4.121584e+01,3.926019e-08,2.982948e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.688835e+01,8.989865e+01,6.450222e+01
2.816937e+04,1.527639e-06,4.121584e+01,3.706437e-08,2.816552e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.638843e+01,8.939873e+01,6.400366e+01
3.160599e+04,1.442199e-06,4.121584e+01,3.499137e-08,2.659487e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.588852e+01,8.889882e+01,6.350526e+01
3.546188e+04,1.361537e-06,4.121584e+01,3.303431e-08,2.511235e-09,6.694020e-01,6.694020e-01,-7.521100e+01,8.538861e+01,8.839891e+01,6.300705e+01
3.978818e+04,1.285387e-06,4.121584e+01,3.118672e-08,2.371304e-09,6.694020e-01,6.694020e-01,-7.521101e+01,8.488869e+01,8.789899e+01,6.250905e+01
4.464228e+04,1.213496e-06,4.121584e+01,2.944246e-08,2.239229e-09,6.694020e-01,6.694020e-01,-7.521101e+01,8.438878e+01,8.739908e+01,6.201127e+01
5.008857e+04,1.145626e-06,4.121584e+01,2.779577e-08,2.114574e-09,6.694019e-01,6.694020e-01,-7.521101e+01,8.388887e+01,8.689917e+01,6.151376e+01
5.619931e+04,1.081552e-06,4.121584e+01,2.624118e-08,1.996925e-09,6.694019e-01,6.694020e-01,-7.521101e+01,8.338897e+01,8.639927e+01,6.101654e+01
6.305555e+04,1.021062e-06,4.121584e+01,2.477354e-08,1.885893e-09,6.694019e-01,6.694020e-01,-7.521101e+01,8.288906e+01,8.589936e+01,6.051965e+01
7.074823e+04,9.639555e-07,4.121584e+01,2.338799e-08,1.781109e-09,6.694019e-01,6.694020e-01,-7.521101e+01,8.238916e+01,8.539946e+01,6.002312e+01
7.937942e+04,9.100430e-07,4.121584e+01,2.207993e-08,1.682227e-09,6.694018e-01,6.694020e-01,-7.521101e+01,8.188926e+01,8.489956e+01,5.952700e+01
