        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 1.71200000e+02,        -1.962354790822e+01,        -1.718834692399e+02,        -4.428390586760e+00,        -9.731896789642e+01,        -4.430400077221e+00,        -9.730237845174e+01,        -4.428390586760e+00,        -9.731896789642e+01,        -5.299687329155e+00,        -1.019575199651e+01,        -7.939247655795e+00,        +1.687114349693e+02,        -4.430400077221e+00,        -9.730237845174e+01,        -7.939247655795e+00,        +1.687114349693e+02,        -5.297708447960e+00,        -1.010680050799e+01
 1.72800000e+02,        -1.955673674463e+01,        -1.710817650301e+02,        -4.430346853591e+00,        -9.823717680926e+01,        -4.432386751085e+00,        -9.822004853669e+01,        -4.430346853591e+00,        -9.823717680926e+01,        -5.309332430757e+00,        -1.107718120376e+01,        -7.940165035540e+00,        +1.669935723729e+02,        -4.432386751085e+00,        -9.822004853669e+01,        -7.940165035540e+00,        +1.669935723729e+02,        -5.307425360730e+00,        -1.098729469575e+01
 1.74400000e+02,        -1.948492418304e+01,        -1.703043237000e+02,        -4.432375602465e+00,        -9.915533164886e+01,        -4.434444342647e+00,        -9.913765118523e+01,        -4.432375602465e+00,        -9.915533164886e+01,        -5.320582426539e+00,        -1.195889759273e+01,        -7.940858483742e+00,        +1.652752843762e+02,        -4.434444342647e+00,        -9.913765118523e+01,        -7.940858483742e+00,        +1.652752843762e+02,        -5.318749155301e+00,        -1.186807482768e+01
 1.76000000e+02,        -1.940839931171e+01,        -1.695525949539e+02,        -4.434476867078e+00,        -1.000734196166e+02,        -4.436572760356e+00,        -1.000551738016e+02,        -4.434476867078e+00,        -1.000734196166e+02,        -5.333449202751e+00,        -1.284097079913e+01,        -7.941335293326e+00,        +1.635565529361e+02,        -4.436572760356e+00,        -1.000551738016e+02,        -7.941335293326e+00,        +1.635565529361e+02,        -5.331691788350e+00,        -1.274921043428e+01
 1.77600000e+02,        -1.932745992054e+01,        -1.688278415381e+02,        -4.436650625845e+00,        -1.009914278944e+02,        -4.438771853051e+00,        -1.009726038318e+02,        -4.436650625845e+00,        -1.009914278944e+02,        -5.347945896325e+00,        -1.372346428448e+01,        -7.941603231964e+00,        +1.618373656165e+02,        -4.438771853051e+00,        -1.009726038318e+02,        -7.941603231964e+00,        +1.618373656165e+02,        -5.346266469799e+00,        -1.363076487908e+01
 1.79200000e+02,        -1.924240932873e+01,        -1.681311410041e+02,        -4.438896802011e+00,        -1.019093436521e+02,        -4.441041410359e+00,        -1.018899287793e+02,        -4.438896802011e+00,        -1.019093436521e+02,        -5.364086835473e+00,        -1.460643454205e+01,        -7.941670519259e+00,        +1.601177164838e+02,        -4.441041410359e+00,        -1.018899287793e+02,        -7.941670519259e+00,        +1.601177164838e+02,        -5.362487603845e+00,        -1.451279456694e+01
 1.80800000e+02,        -1.915355341195e+01,        -1.674633899320e+02,        -4.441215263792e+00,        -1.028271540548e+02,        -4.443381163287e+00,        -1.028071362211e+02,        -4.441215263792e+00,        -1.028271540548e+02,        -5.381887458113e+00,        -1.548993022297e+01,        -7.941545786741e+00,        +1.583976071254e+02,        -4.443381163287e+00,        -1.028071362211e+02,        -7.941545786741e+00,        +1.583976071254e+02,        -5.380370707887e+00,        -1.539534807258e+01
 1.82400000e+02,        -1.906119786946e+01,        -1.668253102640e+02,        -4.443605824520e+00,        -1.037448462683e+02,        -4.445790785009e+00,        -1.037242138246e+02,        -4.443605824520e+00,        -1.037448462683e+02,        -5.401364202218e+00,        -1.637399118740e+01,        -7.941238015218e+00,        +1.566770478002e+02,        -4.445790785009e+00,        -1.037242138246e+02,        -7.941238015218e+00,        +1.566770478002e+02,        -5.399932303478e+00,        -1.627846519413e+01
 1.84000000e+02,        -1.896564575933e+01,        -1.662174573786e+02,        -4.446068242729e+00,        -1.046624074644e+02,        -4.448269891871e+00,        -1.046411493631e+02,        -4.446068242729e+00,        -1.046624074644e+02,        -5.422534361028e+00,        -1.725864749208e+01,        -7.940756442651e+00,        +1.549560587273e+02,        -4.448269891871e+00,        -1.046411493631e+02,        -7.940756442651e+00,        +1.549560587273e+02,        -5.421189772213e+00,        -1.716217594326e+01
 1.85600000e+02,        -1.886719531889e+01,        -1.656402295411e+02,        -4.448602222135e+00,        -1.055798248246e+02,        -4.450818044579e+00,        -1.055579307320e+02,        -4.448602222135e+00,        -1.055798248246e+02,        -5.445415894766e+00,        -1.814391833601e+01,        -7.940110434125e+00,        +1.532346715111e+02,        -4.450818044579e+00,        -1.055579307320e+02,        -7.940110434125e+00,        +1.532346715111e+02,        -5.444161168247e+00,        -1.804649949369e+01
