 time            v1              v2              v3              v4             
 1.40280000e-11  1.49939860e+00  4.96093147e-01 -2.90172722e-01  3.17729022e-01 
 1.41280000e-11  1.49783282e+00  5.50890073e-01 -2.83822780e-01  3.32261408e-01 
 1.42280000e-11  1.48619096e+00  6.05072974e-01 -2.70699142e-01  3.47399775e-01 
 1.43280000e-11  1.46459057e+00  6.58096799e-01 -2.50931816e-01  3.62989572e-01 
 1.44280000e-11  1.43324978e+00  7.09428189e-01 -2.24718257e-01  3.78871551e-01 
 1.45280000e-11  1.39248507e+00  7.58550844e-01 -1.92321375e-01  3.94883436e-01 
 1.46280000e-11  1.34270807e+00  8.04970716e-01 -1.54066883e-01  4.10861601e-01 
 1.47280000e-11  1.28442144e+00  8.48220983e-01 -1.10340011e-01  4.26642767e-01 
 1.48280000e-11  1.21821374e+00  8.87866743e-01 -6.15816039e-02  4.42065685e-01 
 1.49280000e-11  1.14475355e+00  9.23509390e-01 -8.28366555e-03  4.56972788e-01 
 1.50280000e-11  1.06478266e+00  9.54790623e-01  4.90156248e-02  4.71211808e-01 
 1.51280000e-11  9.79108608e-01  9.81396056e-01  1.09737363e-01  4.84637326e-01 
 1.52280000e-11  8.88596537e-01  1.00305837e+00  1.73267783e-01  4.97112252e-01 
 1.53280000e-11  7.94160431e-01  1.01956003e+00  2.38964480e-01  5.08509212e-01 
 1.54280000e-11  6.96753904e-01  1.03073543e+00  3.06162915e-01  5.18711837e-01 
 1.55280000e-11  5.97360561e-01  1.03647261e+00  3.74183156e-01  5.27615931e-01 
 1.56280000e-11  4.96984076e-01  1.03671435e+00  4.42336764e-01  5.35130516e-01 
 1.57280000e-11  3.96638045e-01  1.03145877e+00  5.09933775e-01  5.41178745e-01 
 1.58280000e-11  2.97335759e-01  1.02075934e+00  5.76289692e-01  5.45698658e-01 
 1.59280000e-11  2.00079970e-01  1.00472434e+00  6.40732424e-01  5.48643800e-01 
 1.60280000e-11  1.05852763e-01  9.83515782e-01  7.02609097e-01  5.49983672e-01 
 1.61280000e-11  1.56056422e-02  9.57347786e-01  7.61292671e-01  5.49704023e-01 
 1.62280000e-11 -6.97500813e-02  9.26484413e-01  8.16188299e-01  5.47806981e-01 
